patient,sample,lane,fastq_1,fastq_2
0045,sample45,L001,/data/public/Project/Seawall/FASTQ/612595-9130rv3-SY-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612595-9130rv3-SY-WES_L01_2.fq.gz
0046,sample46,L001,/data/public/Project/Seawall/FASTQ/603949-9130rv3-LHS-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/603949-9130rv3-LHS-WES_L01_2.fq.gz
0046,sample46,L002,/data/public/Project/Seawall/FASTQ/603949-9130rv3-LHS-WES_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/603949-9130rv3-LHS-WES_L02_2.fq.gz
0047,sample47,L001,/data/public/Project/Seawall/FASTQ/612596-9130rv3-ZYY-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612596-9130rv3-ZYY-WES_L01_2.fq.gz
0048,sample48,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134247-9130r-B_100-WES-94_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134247-9130r-B_100-WES-94_L01_2.fq.gz
0048,sample48,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134247-9130r-B_100-WES-94_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134247-9130r-B_100-WES-94_L02_2.fq.gz
0049,sample49,L001,/data/public/Project/Seawall/FASTQ/612740-9130rv3-ZQ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612740-9130rv3-ZQ-WES_L01_2.fq.gz
0050,sample50,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134339-9130r-ZYH-WES-125_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134339-9130r-ZYH-WES-125_L04_2.fq.gz
0050,sample50,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134339-9130r-ZYH-WES-125_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134339-9130r-ZYH-WES-125_L03_2.fq.gz
0051,sample51,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134207-9130r-B_072-WES-76_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134207-9130r-B_072-WES-76_L03_2.fq.gz
0051,sample51,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134207-9130r-B_072-WES-76_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134207-9130r-B_072-WES-76_L04_2.fq.gz
0052,sample52,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134289-9130r-B_022-WES-122_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134289-9130r-B_022-WES-122_L04_2.fq.gz
0052,sample52,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134289-9130r-B_022-WES-122_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134289-9130r-B_022-WES-122_L03_2.fq.gz
0053,sample53,L001,/data/public/Project/Seawall/FASTQ/612744-9130rv3-WCL-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612744-9130rv3-WCL-WES_L01_2.fq.gz
0054,sample54,L001,/data/public/Project/Seawall/FASTQ/612746-9130rv3-YYQ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612746-9130rv3-YYQ-WES_L01_2.fq.gz
0055,sample55,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134263-9130r-B_074-WES-100_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134263-9130r-B_074-WES-100_L04_2.fq.gz
0055,sample55,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134263-9130r-B_074-WES-100_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134263-9130r-B_074-WES-100_L03_2.fq.gz
0056,sample56,L001,/data/public/Project/Seawall/FASTQ/612754-9130rv3-DRR-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612754-9130rv3-DRR-WES_L01_2.fq.gz
0057,sample57,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134229-9130r-CN_19-WES-84_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134229-9130r-CN_19-WES-84_L03_2.fq.gz
0057,sample57,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134229-9130r-CN_19-WES-84_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134229-9130r-CN_19-WES-84_L04_2.fq.gz
0058,sample58,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134255-9130r-B_090-WES-96_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134255-9130r-B_090-WES-96_L01_2.fq.gz
0058,sample58,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134255-9130r-B_090-WES-96_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134255-9130r-B_090-WES-96_L02_2.fq.gz
0059,sample59,L001,/data/public/Project/Seawall/FASTQ/612713-9130rv3-CSY-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612713-9130rv3-CSY-WES_L01_2.fq.gz
0060,sample60,L001,/data/public/Project/Seawall/FASTQ/612745-9130rv3-YM-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612745-9130rv3-YM-WES_L01_2.fq.gz
0061,sample61,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134213-9130r-B_054-WES-79_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134213-9130r-B_054-WES-79_L03_2.fq.gz
0061,sample61,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134213-9130r-B_054-WES-79_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134213-9130r-B_054-WES-79_L04_2.fq.gz
0062,sample62,L001,/data/public/Project/Seawall/FASTQ/612554-9130rv3-SWD-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612554-9130rv3-SWD-WES_L01_2.fq.gz
0063,sample63,L001,/data/public/Project/Seawall/FASTQ/603905-9130rv3-ZW-WES_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/603905-9130rv3-ZW-WES_L02_2.fq.gz
0063,sample63,L002,/data/public/Project/Seawall/FASTQ/603905-9130rv3-ZW-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/603905-9130rv3-ZW-WES_L01_2.fq.gz
0064,sample64,L001,/data/public/Project/Seawall/FASTQ/612751-9130rv3-WXQ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612751-9130rv3-WXQ-WES_L01_2.fq.gz
0065,sample65,L001,/data/public/Project/Seawall/FASTQ/603894-9130rv3-XHL-WES_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/603894-9130rv3-XHL-WES_L02_2.fq.gz
0065,sample65,L002,/data/public/Project/Seawall/FASTQ/603894-9130rv3-XHL-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/603894-9130rv3-XHL-WES_L01_2.fq.gz
0066,sample66,L001,/data/public/Project/Seawall/FASTQ/612551-9130rv3-ZLY-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612551-9130rv3-ZLY-WES_L01_2.fq.gz
0067,sample67,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134222-9130r-B_001-WES-82_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134222-9130r-B_001-WES-82_L03_2.fq.gz
0067,sample67,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134222-9130r-B_001-WES-82_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134222-9130r-B_001-WES-82_L04_2.fq.gz
0068,sample68,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134267-9130r-B_068-WES-102_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134267-9130r-B_068-WES-102_L04_2.fq.gz
0068,sample68,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134267-9130r-B_068-WES-102_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134267-9130r-B_068-WES-102_L03_2.fq.gz
0069,sample69,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134257-9130r-B_087-WES-97_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134257-9130r-B_087-WES-97_L01_2.fq.gz
0069,sample69,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134257-9130r-B_087-WES-97_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134257-9130r-B_087-WES-97_L02_2.fq.gz
0070,sample70,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134340-9130r-XY-WES-124_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134340-9130r-XY-WES-124_L03_2.fq.gz
0070,sample70,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134340-9130r-XY-WES-124_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134340-9130r-XY-WES-124_L04_2.fq.gz
0071,sample71,L001,/data/public/Project/Seawall/FASTQ/612735-9130rv3-XY-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612735-9130rv3-XY-WES_L01_2.fq.gz
0072,sample72,L001,/data/public/Project/Seawall/FASTQ/612547-9130rv3-ZL-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612547-9130rv3-ZL-WES_L01_2.fq.gz
0073,sample73,L001,/data/public/Project/Seawall/FASTQ/612752-9130rv3-TLM-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612752-9130rv3-TLM-WES_L01_2.fq.gz
0074,sample74,L001,/data/public/Project/Seawall/FASTQ/603893-9130rv3-NCL-WES_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/603893-9130rv3-NCL-WES_L02_2.fq.gz
0074,sample74,L002,/data/public/Project/Seawall/FASTQ/603893-9130rv3-NCL-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/603893-9130rv3-NCL-WES_L01_2.fq.gz
0075,sample75,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134208-9130r-B_070-WES-77_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134208-9130r-B_070-WES-77_L03_2.fq.gz
0075,sample75,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134208-9130r-B_070-WES-77_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134208-9130r-B_070-WES-77_L04_2.fq.gz
0076,sample76,L001,/data/public/Project/Seawall/FASTQ/612755-9130rv3-SM-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612755-9130rv3-SM-WES_L01_2.fq.gz
0077,sample77,L001,/data/public/Project/Seawall/FASTQ/612542-9130rv3-CAD-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612542-9130rv3-CAD-WES_L01_2.fq.gz
0078,sample78,L001,/data/public/Project/Seawall/FASTQ/603906-9130rv3-HCL-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/603906-9130rv3-HCL-WES_L01_2.fq.gz
0078,sample78,L002,/data/public/Project/Seawall/FASTQ/603906-9130rv3-HCL-WES_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/603906-9130rv3-HCL-WES_L02_2.fq.gz
0079,sample79,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134248-9130r-B_099-WES-95_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134248-9130r-B_099-WES-95_L02_2.fq.gz
0079,sample79,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134248-9130r-B_099-WES-95_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134248-9130r-B_099-WES-95_L01_2.fq.gz
0080,sample80,L001,/data/public/Project/Seawall/FASTQ/612731-9130rv3-LJB-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612731-9130rv3-LJB-WES_L01_2.fq.gz
0081,sample81,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134211-9130r-B_058-WES-78_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134211-9130r-B_058-WES-78_L04_2.fq.gz
0081,sample81,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134211-9130r-B_058-WES-78_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134211-9130r-B_058-WES-78_L03_2.fq.gz
0082,sample82,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134238-9130r-B_113-WES-93_L02_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134238-9130r-B_113-WES-93_L02_2.fq.gz
0082,sample82,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134238-9130r-B_113-WES-93_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134238-9130r-B_113-WES-93_L01_2.fq.gz
0083,sample83,L001,/data/public/Project/Seawall/FASTQ/612591-9130rv3-CXY-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612591-9130rv3-CXY-WES_L01_2.fq.gz
0084,sample84,L001,/data/public/Project/Seawall/FASTQ/612544-9130rv3-ZH-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612544-9130rv3-ZH-WES_L01_2.fq.gz
0085,sample85,L001,/data/public/Project/Seawall/FASTQ/M2000-667-134338-9130r-MHH-WES-71_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-667-134338-9130r-MHH-WES-71_L03_2.fq.gz
0085,sample85,L002,/data/public/Project/Seawall/FASTQ/M2000-667-134338-9130r-MHH-WES-71_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-667-134338-9130r-MHH-WES-71_L04_2.fq.gz
0086,sample86,L001,/data/public/Project/Seawall/FASTQ/612734-9130rv3-CSJ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612734-9130rv3-CSJ-WES_L01_2.fq.gz
0087,sample87,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134282-9130r-B_032-WES-121_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134282-9130r-B_032-WES-121_L03_2.fq.gz
0087,sample87,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134282-9130r-B_032-WES-121_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134282-9130r-B_032-WES-121_L04_2.fq.gz
0088,sample88,L001,/data/public/Project/Seawall/FASTQ/612593-9130rv3-CSQ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612593-9130rv3-CSQ-WES_L01_2.fq.gz
0089,sample89,L001,/data/public/Project/Seawall/FASTQ/612553-9130rv3-CJF-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612553-9130rv3-CJF-WES_L01_2.fq.gz
0090,sample90,L001,/data/public/Project/Seawall/FASTQ/603895-9130rv3-YY-WES_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/603895-9130rv3-YY-WES_L03_2.fq.gz
0090,sample90,L002,/data/public/Project/Seawall/FASTQ/603895-9130rv3-YY-WES_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/603895-9130rv3-YY-WES_L04_2.fq.gz
0091,sample91,L001,/data/public/Project/Seawall/FASTQ/612540-9130rv3-HJY-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612540-9130rv3-HJY-WES_L01_2.fq.gz
0092,sample92,L001,/data/public/Project/Seawall/FASTQ/612598-9130rv3-CGQ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612598-9130rv3-CGQ-WES_L01_2.fq.gz
