patient,sample,lane,fastq_1,fastq_2
0011,sample11,L001,/data/public/Project/Seawall/FASTQ/612590-9130rv3-WHW-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612590-9130rv3-WHW-WES_L01_2.fq.gz
0012,sample12,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134197-9130r-B_117-WES-73_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134197-9130r-B_117-WES-73_L04_2.fq.gz
0012,sample12,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134197-9130r-B_117-WES-73_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134197-9130r-B_117-WES-73_L03_2.fq.gz
0013,sample13,L001,/data/public/Project/Seawall/FASTQ/612733-9130rv3-CHQ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612733-9130rv3-CHQ-WES_L01_2.fq.gz
0014,sample14,L001,/data/public/Project/Seawall/FASTQ/605225-9130rv3-YXL-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/605225-9130rv3-YXL-WES_L01_2.fq.gz
0015,sample15,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134261-9130r-B_076-WES-98_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134261-9130r-B_076-WES-98_L03_2.fq.gz
0015,sample15,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134261-9130r-B_076-WES-98_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134261-9130r-B_076-WES-98_L04_2.fq.gz
0016,sample16,L001,/data/public/Project/Seawall/FASTQ/612743-9130rv3-SLQ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612743-9130rv3-SLQ-WES_L01_2.fq.gz
0017,sample17,L001,/data/public/Project/Seawall/FASTQ/612742-9130rv3-HAF-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612742-9130rv3-HAF-WES_L01_2.fq.gz
0018,sample18,L001,/data/public/Project/Seawall/FASTQ/612548-9130rv3-ZYN-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612548-9130rv3-ZYN-WES_L01_2.fq.gz
0019,sample19,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134271-9130r-B_060-WES-104_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134271-9130r-B_060-WES-104_L04_2.fq.gz
0019,sample19,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134271-9130r-B_060-WES-104_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134271-9130r-B_060-WES-104_L03_2.fq.gz
0020,sample20,L001,/data/public/Project/Seawall/FASTQ/603898-9130rv3-WY-WES_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/603898-9130rv3-WY-WES_L04_2.fq.gz
0020,sample20,L002,/data/public/Project/Seawall/FASTQ/603898-9130rv3-WY-WES_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/603898-9130rv3-WY-WES_L03_2.fq.gz
0021,sample21,L001,/data/public/Project/Seawall/FASTQ/612546-9130rv3-CHH-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612546-9130rv3-CHH-WES_L01_2.fq.gz
0022,sample22,L001,/data/public/Project/Seawall/FASTQ/612589-9130rv3-GYM-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612589-9130rv3-GYM-WES_L01_2.fq.gz
0023,sample23,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134224-9130r-CN_23-WES-83_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134224-9130r-CN_23-WES-83_L03_2.fq.gz
0023,sample23,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134224-9130r-CN_23-WES-83_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134224-9130r-CN_23-WES-83_L04_2.fq.gz
